iter	Passed	Remaining
0	9	3974
1	19	3905
2	29	3910
3	39	3926
4	48	3817
5	58	3856
6	62	3522
7	70	3450
8	81	3523
9	88	3438
10	97	3457
11	107	3473
12	115	3430
13	124	3442
14	131	3386
15	140	3372
16	148	3346
17	157	3340
18	165	3318
19	172	3278
20	179	3246
21	188	3234
22	195	3201
23	203	3195
24	211	3166
25	219	3153
26	224	3106
27	232	3088
28	240	3079
29	249	3072
30	259	3090
31	269	3096
32	283	3151
33	294	3172
34	303	3166
35	313	3166
36	323	3176
37	332	3169
38	341	3157
39	348	3139
40	358	3137
41	368	3137
42	376	3128
43	386	3123
44	394	3115
45	400	3082
46	408	3066
47	418	3067
48	426	3058
49	436	3052
50	445	3049
51	451	3019
52	460	3012
53	466	2992
54	476	2987
55	483	2969
56	493	2967
57	502	2960
58	511	2956
59	520	2949
60	529	2942
61	537	2929
62	546	2923
63	555	2916
64	564	2908
65	573	2904
66	582	2895
67	591	2887
68	598	2873
69	607	2866
70	617	2861
71	627	2857
72	637	2857
73	649	2863
74	660	2860
75	668	2850
76	678	2844
77	686	2834
78	695	2827
79	703	2812
80	712	2807
81	720	2794
82	729	2787
83	739	2780
84	749	2776
85	758	2768
86	765	2755
87	775	2749
88	785	2743
89	793	2733
90	803	2726
91	812	2718
92	826	2727
93	834	2717
94	845	2713
95	856	2712
96	861	2689
97	865	2668
98	874	2659
99	884	2652
100	889	2633
101	899	2628
102	910	2624
103	921	2621
104	929	2611
105	939	2606
106	949	2598
107	957	2589
108	966	2579
109	975	2570
110	984	2562
111	993	2554
112	1001	2544
113	1011	2537
114	1020	2530
115	1029	2520
116	1037	2510
117	1047	2504
118	1053	2486
119	1061	2476
120	1069	2467
121	1080	2462
122	1086	2447
123	1096	2439
124	1107	2435
125	1117	2429
126	1126	2421
127	1135	2413
128	1144	2403
129	1154	2397
130	1160	2383
131	1169	2373
132	1171	2351
133	1180	2343
134	1186	2328
135	1195	2320
136	1204	2313
137	1212	2301
138	1222	2295
139	1231	2286
140	1241	2279
141	1248	2269
142	1259	2262
143	1269	2256
144	1279	2250
145	1288	2241
146	1298	2233
147	1303	2219
148	1308	2204
149	1317	2195
150	1327	2188
151	1336	2180
152	1344	2170
153	1354	2164
154	1363	2155
155	1374	2149
156	1383	2141
157	1393	2134
158	1402	2126
159	1412	2118
160	1420	2108
161	1428	2098
162	1438	2091
163	1445	2080
164	1455	2072
165	1463	2062
166	1469	2050
167	1474	2035
168	1482	2026
169	1492	2018
170	1501	2011
171	1510	2002
172	1520	1994
173	1528	1984
174	1534	1972
175	1538	1957
176	1542	1943
177	1551	1935
178	1557	1922
179	1566	1915
180	1576	1907
181	1586	1900
182	1595	1892
183	1605	1884
184	1614	1876
185	1625	1869
186	1633	1861
187	1639	1848
188	1648	1840
189	1659	1833
190	1670	1828
191	1680	1820
192	1690	1812
193	1697	1802
194	1706	1793
195	1716	1786
196	1721	1773
197	1728	1763
198	1738	1755
199	1746	1746
200	1755	1737
201	1764	1729
202	1773	1721
203	1776	1707
204	1786	1699
205	1796	1691
206	1806	1683
207	1818	1678
208	1829	1671
209	1839	1663
210	1848	1655
211	1857	1647
212	1866	1638
213	1871	1626
214	1880	1618
215	1888	1608
216	1898	1601
217	1909	1594
218	1920	1587
219	1930	1579
220	1938	1570
221	1944	1559
222	1953	1550
223	1963	1542
224	1973	1534
225	1977	1522
226	1987	1514
227	1997	1506
228	2004	1496
229	2013	1487
230	2023	1480
231	2031	1471
232	2041	1462
233	2049	1454
234	2059	1445
235	2067	1436
236	2077	1429
237	2086	1420
238	2096	1412
239	2106	1404
240	2111	1393
241	2121	1384
242	2132	1377
243	2141	1369
244	2150	1360
245	2160	1352
246	2169	1343
247	2179	1335
248	2187	1326
249	2195	1317
250	2202	1307
251	2211	1298
252	2215	1286
253	2225	1278
254	2233	1270
255	2243	1261
256	2252	1253
257	2261	1244
258	2269	1235
259	2280	1227
260	2290	1219
261	2299	1211
262	2306	1201
263	2314	1192
264	2323	1183
265	2332	1175
266	2341	1166
267	2354	1159
268	2364	1151
269	2373	1142
270	2382	1134
271	2391	1125
272	2399	1116
273	2408	1107
274	2416	1098
275	2426	1090
276	2436	1081
277	2443	1072
278	2452	1063
279	2461	1055
280	2470	1046
281	2474	1035
282	2484	1027
283	2493	1018
284	2500	1009
285	2511	1000
286	2521	992
287	2530	984
288	2540	975
289	2544	965
290	2550	955
291	2559	946
292	2569	938
293	2579	930
294	2588	921
295	2597	912
296	2606	903
297	2616	895
298	2624	886
299	2634	878
300	2643	869
301	2648	859
302	2653	849
303	2662	840
304	2671	832
305	2680	823
306	2683	812
307	2694	804
308	2699	795
309	2704	785
310	2707	774
311	2712	765
312	2722	756
313	2730	747
314	2740	739
315	2748	730
316	2753	720
317	2761	712
318	2772	704
319	2781	695
320	2790	686
321	2799	678
322	2809	669
323	2818	661
324	2826	652
325	2836	643
326	2845	635
327	2850	625
328	2858	616
329	2868	608
330	2873	599
331	2881	590
332	2891	581
333	2900	573
334	2909	564
335	2913	554
336	2922	546
337	2932	537
338	2941	529
339	2950	520
340	2959	512
341	2969	503
342	2974	494
343	2983	485
344	2995	477
345	2998	468
346	3006	459
347	3016	450
348	3026	442
349	3032	433
350	3041	424
351	3052	416
352	3062	407
353	3072	399
354	3075	389
355	3085	381
356	3093	372
357	3102	363
358	3110	355
359	3121	346
360	3129	338
361	3139	329
362	3142	320
363	3151	311
364	3159	302
365	3169	294
366	3177	285
367	3186	277
368	3196	268
369	3207	260
370	3212	251
371	3222	242
372	3230	233
373	3238	225
374	3246	216
375	3254	207
376	3265	199
377	3277	190
378	3287	182
379	3293	173
380	3309	165
381	3319	156
382	3329	147
383	3338	139
384	3348	130
385	3361	121
386	3369	113
387	3379	104
388	3389	95
389	3401	87
390	3411	78
391	3418	69
392	3428	61
393	3438	52
394	3447	43
395	3461	34
396	3469	26
397	3478	17
398	3483	8
399	3492	0
